"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.038229583E0,5.917715181E-2,9.720726893E-2
1.538229583E0,2.146389686E-1,1.446050402E-1
2.038229583E0,1.990371441E-1,6.623663095E-1
2.538229583E0,8.567961083E-1,2.465232239E0
3.038229583E0,1.761278825E0,5.149340255E0
3.538229583E0,3.443210748E0,8.393071363E0
4.038229583E0,5.226913166E0,1.662320334E1
4.538229583E0,6.854367507E0,2.285767066E1
5.038229583E0,9.630038401E0,3.079977695E1
5.538229583E0,1.084248943E1,3.836358557E1
6.038229583E0,1.064937537E1,5.022575896E1
6.538229583E0,1.599171960E1,6.369605790E1
7.038229583E0,1.911210847E1,7.529149143E1
7.538229583E0,1.113518817E2,9.169256097E1
8.038229583E0,1.663771098E2,1.047052023E2
8.538229583E0,1.746758561E2,1.250790615E2
9.038229583E0,1.778328257E2,1.426811347E2
9.538229583E0,-1.797839312E2,1.578044846E2
1.003822958E1,-1.799675147E2,1.708689108E2
1.053822958E1,-1.799424476E2,-1.761182141E2
1.103822958E1,-1.792333232E2,-1.531809366E2
1.153822958E1,1.799109479E2,-1.358869149E2
1.203822958E1,1.790587175E2,-1.197832245E2
1.253822958E1,1.667881698E2,-1.017478956E2
1.303822958E1,6.439879025E1,-8.807458896E1
1.353822958E1,1.394640364E1,-7.654881966E1
1.403822958E1,9.649717720E0,-6.365928622E1
1.453822958E1,9.081969139E0,-5.534357185E1
1.503822958E1,1.036949569E1,-4.684665541E1
1.553822958E1,1.244547530E1,-4.523636883E1
1.603822958E1,1.712607383E1,-4.652669514E1
1.653822958E1,1.208286214E1,-3.721736648E1
1.703822958E1,6.869001506E0,-1.370853021E1
1.753822958E1,3.099791969E0,-2.440144705E0
1.803822958E1,8.919273860E-1,-3.975270315E-1
