"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.038229583E0,8.994082284E1,5.866809283E1
1.538229583E0,8.978536103E1,3.396858923E1
2.038229583E0,8.980096285E1,7.327542882E1
2.538229583E0,8.914320389E1,7.084465046E1
3.038229583E0,8.823872117E1,7.115903503E1
3.538229583E0,8.655678925E1,6.781451924E1
4.038229583E0,8.477308683E1,7.296426397E1
4.538229583E0,8.314563249E1,7.408432671E1
5.038229583E0,8.036996159E1,7.411164579E1
5.538229583E0,7.915751056E1,7.639785698E1
6.038229583E0,7.935062462E1,8.110405258E1
6.538229583E0,7.400828039E1,8.193681172E1
7.038229583E0,7.088789153E1,8.480255145E1
7.538229583E0,-2.135188174E1,8.567735391E1
8.038229583E0,-7.637710983E1,8.636075114E1
8.538229583E0,-8.467585613E1,8.625557580E1
9.038229583E0,-8.783282568E1,8.715809571E1
9.538229583E0,-9.021606879E1,9.052956633E1
1.003822958E1,-9.003248528E1,9.020210927E1
1.053822958E1,-9.005755240E1,-9.084812090E1
1.103822958E1,-9.076667677E1,-9.151624453E1
1.153822958E1,-8.991094790E1,-8.990814736E1
1.203822958E1,-8.905871748E1,-8.946125575E1
1.253822958E1,-7.678816976E1,-8.720490503E1
1.303822958E1,2.560120974E1,-8.598663832E1
1.353822958E1,7.605359635E1,-8.660084611E1
1.403822958E1,8.035028227E1,-8.518793191E1
1.453822958E1,8.091803086E1,-8.369402799E1
1.503822958E1,7.963050431E1,-8.026547977E1
1.553822958E1,7.755452469E1,-7.765364012E1
1.603822958E1,7.287392617E1,-7.371482192E1
1.653822958E1,7.791713785E1,-7.425964166E1
1.703822958E1,8.313099849E1,-6.371775706E1
1.753822958E1,8.690020803E1,-3.819934559E1
1.803822958E1,8.910807261E1,-2.402088560E1
