"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.025320781E0,1.072131860E2,9.005976686E1
1.525320781E0,1.011174282E2,9.003793135E1
2.025320781E0,1.072619755E2,9.006097893E1
2.525320781E0,1.084160269E2,9.006240131E1
3.025320781E0,1.037281917E2,9.004702210E1
3.525320781E0,1.070357382E2,9.005699637E1
4.025320781E0,1.066428453E2,9.005843871E1
4.525320781E0,1.034999974E2,9.005033018E1
5.025320781E0,9.779595235E1,9.001798232E1
5.525320781E0,9.434131890E1,9.001174665E1
6.025320781E0,6.861248119E0,8.976700835E1
6.525320781E0,2.637592311E1,8.984566240E1
7.025320781E0,7.716491600E1,8.996914083E1
7.525320781E0,9.208088522E1,9.000618988E1
8.025320781E0,1.014029186E2,9.003778057E1
8.525320781E0,1.030929621E2,9.004726826E1
9.025320781E0,1.069143930E2,9.005934545E1
9.525320781E0,7.470670793E1,8.993555713E1
1.002532078E1,-2.624166240E1,8.971423882E1
1.052532078E1,1.671428113E2,9.051944114E1
1.102532078E1,-1.006470595E2,9.007509383E1
1.152532078E1,1.759628579E2,9.052878920E1
1.202532078E1,-1.629836998E2,9.024363400E1
1.252532078E1,1.692482208E2,9.041081095E1
1.302532078E1,1.662701620E2,9.053336372E1
1.352532078E1,1.658577368E2,9.052434688E1
1.402532078E1,1.649433215E2,9.062205292E1
1.452532078E1,1.630059176E2,9.067528230E1
1.502532078E1,1.627347055E2,9.069993417E1
1.552532078E1,1.622967185E2,9.070660154E1
1.602532078E1,1.623953666E2,9.074007900E1
1.652532078E1,1.611344694E2,9.073373483E1
1.702532078E1,1.612613732E2,9.073199464E1
1.752532078E1,1.617234475E2,9.070189704E1
1.802532078E1,1.635998912E2,9.067909592E1
1.852532078E1,1.655348037E2,9.064260576E1
1.902532078E1,1.616050229E2,9.073909308E1
1.952532078E1,1.619902851E2,9.085803268E1
2.002532078E1,-1.471807432E2,9.028978120E1
2.052532078E1,1.514930278E2,9.111577295E1
2.102532078E1,1.517530024E2,9.070110150E1
2.152532078E1,1.365489425E2,9.062652255E1
2.202532078E1,1.331514016E2,9.049736383E1
2.252532078E1,1.316580849E2,9.046945375E1
2.302532078E1,1.319143952E2,9.046340845E1
2.352532078E1,1.317725561E2,9.047353363E1
2.402532078E1,1.315586251E2,9.045736235E1
2.452532078E1,1.319226720E2,9.047136164E1
2.502532078E1,1.322717828E2,9.046735008E1
2.552532078E1,1.318183061E2,9.046983269E1
2.602532078E1,1.320615143E2,9.046732620E1
2.652532078E1,1.325743174E2,9.046386541E1
2.702532078E1,1.320580810E2,9.046603136E1
2.752532078E1,1.316225986E2,9.046650407E1
2.802532078E1,1.315864161E2,9.044938306E1
2.852532078E1,1.323416774E2,9.047526158E1
2.902532078E1,1.327823284E2,9.047282215E1
2.952532078E1,1.310552876E2,9.046474339E1
3.002532078E1,1.509279218E2,9.108017545E1
3.052532078E1,1.529762217E2,9.147260731E1
3.102532078E1,-3.063700176E1,8.924941514E1
3.152532078E1,9.514587519E1,9.008598823E1
3.202532078E1,1.024183448E2,9.013930357E1
3.252532078E1,9.128887736E1,9.001285268E1
3.302532078E1,9.574322067E1,9.006249606E1
3.352532078E1,1.030767914E2,9.015042008E1
3.402532078E1,1.019460998E2,9.013964934E1
3.452532078E1,1.006873938E2,9.012550660E1
3.552532078E1,1.012507432E2,9.012984916E1
3.602532078E1,1.017500992E2,9.013580113E1
3.652532078E1,1.020617752E2,9.014035630E1
3.702532078E1,1.004679021E2,9.012329602E1
3.752532078E1,1.012631291E2,9.013379506E1
3.802532078E1,9.996680229E1,9.011659280E1
3.852532078E1,1.015923212E2,9.013623824E1
3.902532078E1,1.010765497E2,9.012843727E1
